time,target,true_x,true_z,meas_x,meas_z
0.064,TARGET_1,-0.597991,-0.498414,-0.578605,-0.501605
0.064,TARGET_2,0.598190,0.498190,0.579791,0.478572
0.128,TARGET_1,-0.595981,-0.496827,-0.604499,-0.501772
0.128,TARGET_2,0.596380,0.496380,0.592502,0.506743
0.192,TARGET_1,-0.593972,-0.495241,-0.577034,-0.490786
0.192,TARGET_2,0.594569,0.494569,0.609341,0.476021
0.256,TARGET_1,-0.591963,-0.493655,-0.592136,-0.498127
0.256,TARGET_2,0.592759,0.492759,0.610481,0.510682
0.320,TARGET_1,-0.589954,-0.492069,-0.596981,-0.499195
0.320,TARGET_2,0.590949,0.490949,0.592925,0.507310
0.384,TARGET_1,-0.587944,-0.490482,-0.604118,-0.507965
0.384,TARGET_2,0.589139,0.489139,0.573464,0.470937
0.448,TARGET_1,-0.585935,-0.488896,-0.574879,-0.501751
0.448,TARGET_2,0.587329,0.487329,0.567963,0.482203
0.512,TARGET_1,-0.583926,-0.487310,-0.595841,-0.506821
0.512,TARGET_2,0.585518,0.485518,0.573214,0.496763
0.576,TARGET_1,-0.581916,-0.485723,-0.592078,-0.473628
0.576,TARGET_2,0.583708,0.483708,0.597628,0.478229
0.640,TARGET_1,-0.579907,-0.484137,-0.560973,-0.470400
0.640,TARGET_2,0.581898,0.481898,0.567000,0.465870
0.704,TARGET_1,-0.577898,-0.482551,-0.570313,-0.463837
0.704,TARGET_2,0.580088,0.480088,0.591612,0.478328
0.768,TARGET_1,-0.575888,-0.480965,-0.584434,-0.495673
0.768,TARGET_2,0.578278,0.478278,0.580891,0.494595
0.832,TARGET_1,-0.573879,-0.479378,-0.562172,-0.483831
0.832,TARGET_2,0.576467,0.476467,0.571923,0.493513
0.896,TARGET_1,-0.571870,-0.477792,-0.570352,-0.496967
0.896,TARGET_2,0.574657,0.474657,0.558027,0.473039
0.960,TARGET_1,-0.569861,-0.476206,-0.556570,-0.491088
0.960,TARGET_2,0.572847,0.472847,0.583660,0.470521
1.024,TARGET_1,-0.567851,-0.474619,-0.565039,-0.477061
1.024,TARGET_2,0.571037,0.471037,0.571907,0.465241
1.088,TARGET_1,-0.565842,-0.473033,-0.559211,-0.467712
1.088,TARGET_2,0.569227,0.469227,0.570790,0.464477
1.152,TARGET_1,-0.563833,-0.471447,-0.554961,-0.453286
1.152,TARGET_2,0.567417,0.467417,0.564666,0.454327
1.216,TARGET_1,-0.561823,-0.469861,-0.548060,-0.474027
1.216,TARGET_2,0.565606,0.465606,0.576938,0.476547
1.280,TARGET_1,-0.559814,-0.468274,-0.579702,-0.478607
1.280,TARGET_2,0.563796,0.463796,0.570359,0.472662
1.344,TARGET_1,-0.557805,-0.466688,-0.543813,-0.477166
1.344,TARGET_2,0.561986,0.461986,0.551157,0.476587
1.408,TARGET_1,-0.555795,-0.465102,-0.559933,-0.477721
1.408,TARGET_2,0.560176,0.460176,0.543241,0.477013
1.472,TARGET_1,-0.553786,-0.463515,-0.555363,-0.474667
1.472,TARGET_2,0.558366,0.458366,0.558725,0.450810
1.536,TARGET_1,-0.551777,-0.461929,-0.560386,-0.458155
1.536,TARGET_2,0.556555,0.456555,0.551048,0.448701
1.600,TARGET_1,-0.549768,-0.460343,-0.560270,-0.473070
1.600,TARGET_2,0.554745,0.454745,0.556909,0.474440
1.664,TARGET_1,-0.547758,-0.458756,-0.527818,-0.456360
1.664,TARGET_2,0.552935,0.452935,0.533280,0.438762
1.728,TARGET_1,-0.545749,-0.457170,-0.560230,-0.441501
1.728,TARGET_2,0.551125,0.451125,0.535757,0.449359
1.792,TARGET_1,-0.543740,-0.455584,-0.543983,-0.458795
1.792,TARGET_2,0.549315,0.449315,0.544480,0.438097
1.856,TARGET_1,-0.541730,-0.453998,-0.551543,-0.440283
1.856,TARGET_2,0.547504,0.447504,0.543879,0.466777
1.920,TARGET_1,-0.539721,-0.452411,-0.553594,-0.458032
1.920,TARGET_2,0.545694,0.445694,0.562515,0.432634
1.984,TARGET_1,-0.537712,-0.450825,-0.530583,-0.444511
1.984,TARGET_2,0.543884,0.443884,0.559224,0.434878
2.048,TARGET_1,-0.535702,-0.449239,-0.527301,-0.443842
2.048,TARGET_2,0.542074,0.442074,0.541861,0.443478
2.112,TARGET_1,-0.533693,-0.447652,-0.534267,-0.462656
2.112,TARGET_2,0.540264,0.440264,0.524860,0.451482
2.176,TARGET_1,-0.531684,-0.446066,-0.539655,-0.449297
2.176,TARGET_2,0.538453,0.438453,0.551879,0.432076
2.240,TARGET_1,-0.529675,-0.444480,-0.515519,-0.430156
2.240,TARGET_2,0.536643,0.436643,0.549763,0.441695
2.304,TARGET_1,-0.527665,-0.442894,-0.522074,-0.451853
2.304,TARGET_2,0.534833,0.434833,0.520101,0.430363
2.368,TARGET_1,-0.525656,-0.441307,-0.533749,-0.438017
2.368,TARGET_2,0.533023,0.433023,0.514591,0.420576
2.432,TARGET_1,-0.523647,-0.439721,-0.530818,-0.449452
2.432,TARGET_2,0.531213,0.431213,0.540508,0.415928
2.496,TARGET_1,-0.521637,-0.438135,-0.540308,-0.456390
2.496,TARGET_2,0.529402,0.429402,0.522470,0.420779
2.560,TARGET_1,-0.519628,-0.436548,-0.529955,-0.431612
2.560,TARGET_2,0.527592,0.427592,0.546813,0.412161
2.624,TARGET_1,-0.517619,-0.434962,-0.518967,-0.433182
2.624,TARGET_2,0.525782,0.425782,0.514770,0.445224
2.688,TARGET_1,-0.515609,-0.433376,-0.529325,-0.445526
2.688,TARGET_2,0.523972,0.423972,0.510742,0.413419
2.752,TARGET_1,-0.513600,-0.431790,-0.501384,-0.447641
2.752,TARGET_2,0.522162,0.422162,0.531893,0.404739
2.816,TARGET_1,-0.511591,-0.430203,-0.517519,-0.437146
2.816,TARGET_2,0.520351,0.420351,0.525316,0.415174
2.880,TARGET_1,-0.509582,-0.428617,-0.497570,-0.438951
2.880,TARGET_2,0.518541,0.418541,0.499044,0.400728
