time,target,true_x,true_z,meas_x,meas_z,ekf_x,ekf_z
0.064,TARGET_1,-0.597991,-0.498414,-0.580466,-0.498396,-0.5804647269964277,-0.498396
0.128,TARGET_1,-0.595981,-0.496827,-0.608131,-0.504857,-0.6060475093314608,-0.5034292387671225
0.192,TARGET_1,-0.593972,-0.495241,-0.595384,-0.500039,-0.5985827793289088,-0.5006898569988879
0.256,TARGET_1,-0.591963,-0.493655,-0.573057,-0.485567,-0.5776410915357425,-0.48897863509912526
0.32,TARGET_1,-0.589954,-0.492069,-0.593465,-0.488317,-0.590283650589997,-0.4884342520288641
0.384,TARGET_1,-0.587944,-0.490482,-0.602479,-0.479157,-0.6005667671758796,-0.481220897464358
0.448,TARGET_1,-0.585935,-0.488896,-0.578422,-0.49131,-0.58303134876337,-0.4890248650543545
0.512,TARGET_1,-0.583926,-0.48731,-0.601491,-0.507058,-0.5977124180608242,-0.5027685083746987
0.576,TARGET_1,-0.581916,-0.485723,-0.577481,-0.501569,-0.5816168188612829,-0.5019179412848516
0.64,TARGET_1,-0.579907,-0.484137,-0.599562,-0.492584,-0.5958554993008071,-0.49471251805280875
0.704,TARGET_1,-0.577898,-0.482551,-0.591843,-0.464702,-0.5930144099762794,-0.47170789029671994
0.768,TARGET_1,-0.575888,-0.480965,-0.578494,-0.497037,-0.5813613242067682,-0.49117013321614267
0.832,TARGET_1,-0.573879,-0.479378,-0.582158,-0.482975,-0.5817314057351654,-0.48492092350108335
0.896,TARGET_1,-0.57187,-0.477792,-0.575404,-0.490797,-0.57637975461723,-0.48947513499098866
0.96,TARGET_1,-0.569861,-0.476206,-0.568996,-0.473903,-0.5701146736312378,-0.4776100470561168
1.024,TARGET_1,-0.567851,-0.474619,-0.580683,-0.45941,-0.5782290944888683,-0.4636520339897013
1.088,TARGET_1,-0.565842,-0.473033,-0.56831,-0.483843,-0.570091501601898,-0.47914889355912665
1.152,TARGET_1,-0.563833,-0.471447,-0.550962,-0.484694,-0.5542698240319098,-0.4834820508379292
1.216,TARGET_1,-0.561823,-0.469861,-0.561908,-0.456588,-0.5596594707816372,-0.46284685504447315
1.28,TARGET_1,-0.559814,-0.468274,-0.577093,-0.480818,-0.573240754413156,-0.4766226732020225
1.344,TARGET_1,-0.557805,-0.466688,-0.542923,-0.456964,-0.5488743689739738,-0.4616165229826088
1.408,TARGET_1,-0.555795,-0.465102,-0.567106,-0.465406,-0.5628269050767513,-0.46452692599817547
1.472,TARGET_1,-0.553786,-0.463515,-0.556277,-0.469418,-0.5573805178749905,-0.4682933037932202
1.536,TARGET_1,-0.551777,-0.461929,-0.564184,-0.445632,-0.5626001124394904,-0.4509321722995735
1.6,TARGET_1,-0.549768,-0.460343,-0.534155,-0.451615,-0.5395959238717145,-0.45149286590038124
1.664,TARGET_1,-0.547758,-0.458756,-0.53963,-0.439301,-0.5388154350070173,-0.4421478982392051
1.728,TARGET_1,-0.545749,-0.45717,-0.52647,-0.443033,-0.5281597259996124,-0.44282445803442405
1.792,TARGET_1,-0.54374,-0.455584,-0.540836,-0.470961,-0.5374551504449459,-0.46449376755855354
1.856,TARGET_1,-0.54173,-0.453998,-0.526336,-0.448556,-0.5280791074468547,-0.4523349298428018
1.92,TARGET_1,-0.539721,-0.452411,-0.554252,-0.46298,-0.5485061087322641,-0.4604882267003556
1.984,TARGET_1,-0.537712,-0.450825,-0.530531,-0.457064,-0.5341444070118868,-0.4579145659106623
2.048,TARGET_1,-0.535702,-0.449239,-0.523352,-0.461648,-0.5250565691533992,-0.4608445607230178
2.112,TARGET_1,-0.533693,-0.447652,-0.514969,-0.435031,-0.5163912764133463,-0.4411168835923599
2.176,TARGET_1,-0.531684,-0.446066,-0.521608,-0.438274,-0.5198591983183759,-0.4389451481292061
2.24,TARGET_1,-0.529675,-0.44448,-0.525169,-0.45512,-0.5236295698440365,-0.45136402563478795
2.304,TARGET_1,-0.527665,-0.442894,-0.520456,-0.42527,-0.5208322228116995,-0.43138891372689203
2.368,TARGET_1,-0.525656,-0.441307,-0.521725,-0.439771,-0.5212417722530764,-0.4378168745657727
2.432,TARGET_1,-0.523647,-0.439721,-0.512261,-0.427254,-0.5137699395125447,-0.4297454634772094
2.496,TARGET_1,-0.521637,-0.438135,-0.540771,-0.439799,-0.5351019045636938,-0.43743574457115225
2.56,TARGET_1,-0.519628,-0.436548,-0.508295,-0.427138,-0.5138387746598002,-0.429575670073693
2.624,TARGET_1,-0.517619,-0.434962,-0.529451,-0.447988,-0.5259804330873095,-0.4436738263684386
2.688,TARGET_1,-0.515609,-0.433376,-0.531694,-0.447226,-0.5306203592147544,-0.4463757695308294
2.752,TARGET_1,-0.5136,-0.43179,-0.496391,-0.427682,-0.5032478989331404,-0.43214270539750516
2.816,TARGET_1,-0.511591,-0.430203,-0.525437,-0.425299,-0.5204328961358083,-0.42688056848315786
2.88,TARGET_1,-0.509582,-0.428617,-0.497164,-0.436381,-0.5016212373567576,-0.4342271562320705
2.944,TARGET_1,-0.507572,-0.427031,-0.495307,-0.425723,-0.49589219390868394,-0.427766530750193
3.008,TARGET_1,-0.505563,-0.425444,-0.494759,-0.444335,-0.49421856272378617,-0.4405454805660985
3.072,TARGET_1,-0.503554,-0.423858,-0.487869,-0.42553,-0.4884758906940568,-0.4290920267971368
3.136,TARGET_1,-0.501544,-0.422272,-0.495053,-0.408131,-0.4931163919393488,-0.41299669809320155
3.2,TARGET_1,-0.499535,-0.420686,-0.483429,-0.435521,-0.4848905458611897,-0.4302756723400392
3.264,TARGET_1,-0.497526,-0.419099,-0.517275,-0.399303,-0.5104447064737989,-0.4064753727774676
3.328,TARGET_1,-0.495516,-0.417513,-0.484008,-0.436348,-0.4895198839455601,-0.4293442090284219
3.392,TARGET_1,-0.493507,-0.415927,-0.479479,-0.427908,-0.48104239008958566,-0.42820540437198656
3.456,TARGET_1,-0.491498,-0.41434,-0.476308,-0.409623,-0.47658951151738727,-0.4139027005559243
3.52,TARGET_1,-0.489489,-0.412754,-0.47901,-0.401126,-0.47783554209863865,-0.40402811928904175
3.584,TARGET_1,-0.487479,-0.411168,-0.469683,-0.424001,-0.4708219849044924,-0.4192645125254275
3.648,TARGET_1,-0.48547,-0.409582,-0.467975,-0.41686,-0.4679024442163836,-0.4173602653713072
3.712,TARGET_1,-0.483461,-0.407995,-0.489111,-0.416275,-0.48439277561564037,-0.41654398236724177
3.776,TARGET_1,-0.481451,-0.406409,-0.48371,-0.392319,-0.4837976874328098,-0.39798982477508493
3.84,TARGET_1,-0.479442,-0.404823,-0.483154,-0.38747,-0.48319671042248047,-0.3899250237055155
3.904,TARGET_1,-0.477433,-0.403236,-0.474247,-0.387622,-0.47589131178515165,-0.38811438288012357
3.968,TARGET_1,-0.475423,-0.40165,-0.466931,-0.413948,-0.46846112810904944,-0.40784393187322415
4.032,TARGET_1,-0.473414,-0.400064,-0.478788,-0.384385,-0.4762743674151592,-0.38985342994510036
4.096,TARGET_1,-0.471405,-0.398477,-0.460094,-0.393478,-0.4630953169723161,-0.39254090938282704
4.16,TARGET_1,-0.469396,-0.396891,-0.483171,-0.399317,-0.4787599004163449,-0.39776854103260223
4.224,TARGET_1,-0.467386,-0.395305,-0.459783,-0.406353,-0.4635802035747822,-0.404271778163435
4.288,TARGET_1,-0.465377,-0.393719,-0.470335,-0.412813,-0.46864900267725734,-0.4108066098461059
4.352,TARGET_1,-0.463368,-0.392132,-0.448606,-0.411472,-0.45233827986596276,-0.4112280425965326
4.416,TARGET_1,-0.461358,-0.390546,-0.465795,-0.392547,-0.4624594281113366,-0.3968667706725725
4.48,TARGET_1,-0.459349,-0.38896,-0.477602,-0.397436,-0.47441522148153664,-0.3973450946700894
4.544,TARGET_1,-0.45734,-0.387373,-0.458107,-0.372071,-0.46131801018547297,-0.37791148396430285
4.608,TARGET_1,-0.45533,-0.385787,-0.464209,-0.388639,-0.4633392086003237,-0.3861042692379676
4.672,TARGET_1,-0.453321,-0.384201,-0.434339,-0.384402,-0.4397518203884204,-0.3846324838490266
4.736,TARGET_1,-0.451312,-0.382615,-0.465242,-0.386371,-0.4593569773848814,-0.38596940744386576
4.8,TARGET_1,-0.449303,-0.381028,-0.450539,-0.370617,-0.452042007751788,-0.37413877155203473
4.864,TARGET_1,-0.447293,-0.379442,-0.464848,-0.364901,-0.4619159612787604,-0.36706302783022915
4.928,TARGET_1,-0.445284,-0.377856,-0.457198,-0.383452,-0.4581827212255617,-0.3795923219475144
4.992,TARGET_1,-0.443275,-0.376269,-0.437484,-0.362576,-0.4413115528143181,-0.36640780737604567
5.056,TARGET_1,-0.441265,-0.374683,-0.43973,-0.365891,-0.43934124939952707,-0.36589140749557547
5.12,TARGET_1,-0.439256,-0.373097,-0.445886,-0.387914,-0.4441062290301359,-0.3827733181254164
5.184,TARGET_1,-0.437247,-0.371511,-0.433933,-0.384759,-0.43562648104623336,-0.38422559641482273
5.248,TARGET_1,-0.435237,-0.369924,-0.454031,-0.380695,-0.44994177097433224,-0.3815370451365689
