time,target,true_x,true_z,meas_x,meas_z,est_x,est_z
0.064,TARGET_1,-0.597991,-0.498414,-0.580466,-0.498396,-0.580466,-0.498396
0.128,TARGET_1,-0.595981,-0.496827,-0.608131,-0.504857,-0.5957978100117379,-0.5019766551413641
0.192,TARGET_1,-0.593972,-0.495241,-0.595384,-0.500039,-0.5961573126899846,-0.5011829578316029
0.256,TARGET_1,-0.591963,-0.493655,-0.573057,-0.485567,-0.5859024491553645,-0.493960145559687
0.32,TARGET_1,-0.589954,-0.492069,-0.593465,-0.488317,-0.5890236760620178,-0.49078067291283767
0.384,TARGET_1,-0.587944,-0.490482,-0.602479,-0.479157,-0.5951900439618409,-0.48465209629945594
0.448,TARGET_1,-0.585935,-0.488896,-0.578422,-0.49131,-0.5879088426419794,-0.4865933532168413
0.512,TARGET_1,-0.583926,-0.48731,-0.601491,-0.507058,-0.5938728723789016,-0.4950166129737092
0.576,TARGET_1,-0.581916,-0.485723,-0.577481,-0.501569,-0.5868375818064943,-0.4977820380336098
0.64,TARGET_1,-0.579907,-0.484137,-0.599562,-0.492584,-0.5921858401429982,-0.49555028364560233
0.704,TARGET_1,-0.577898,-0.482551,-0.591843,-0.464702,-0.5921583320258054,-0.48213050801982543
0.768,TARGET_1,-0.575888,-0.480965,-0.578494,-0.497037,-0.5864360970387897,-0.48764006506251606
0.832,TARGET_1,-0.573879,-0.479378,-0.582158,-0.482975,-0.5844207919668623,-0.4851896042586363
0.896,TARGET_1,-0.57187,-0.477792,-0.575404,-0.490797,-0.5803535846333971,-0.4869685358050482
0.96,TARGET_1,-0.569861,-0.476206,-0.568996,-0.473903,-0.5751686144058807,-0.4811091805714514
1.024,TARGET_1,-0.567851,-0.474619,-0.580683,-0.45941,-0.5767651284664609,-0.4714840742792449
1.088,TARGET_1,-0.565842,-0.473033,-0.56831,-0.483843,-0.5727418630627014,-0.4754903611617594
1.152,TARGET_1,-0.563833,-0.471447,-0.550962,-0.484694,-0.5631615550816399,-0.478434232001633
1.216,TARGET_1,-0.561823,-0.469861,-0.561908,-0.456588,-0.5616017175877993,-0.4689243405548192
1.28,TARGET_1,-0.559814,-0.468274,-0.577093,-0.480818,-0.5668308885273945,-0.472759431309469
1.344,TARGET_1,-0.557805,-0.466688,-0.542923,-0.456964,-0.5564134490373793,-0.4656198144896169
1.408,TARGET_1,-0.555795,-0.465102,-0.567106,-0.465406,-0.5595920870454822,-0.46453847495513606
1.472,TARGET_1,-0.553786,-0.463515,-0.556277,-0.469418,-0.5573279091952849,-0.46552486485037803
1.536,TARGET_1,-0.551777,-0.461929,-0.564184,-0.445632,-0.5591166736028208,-0.456672568648518
1.6,TARGET_1,-0.549768,-0.460343,-0.534155,-0.451615,-0.5482905075604381,-0.45349319433148266
