time,target,true_x,true_z,meas_x,meas_z,measurement_available,est_x,est_z
0.064,TARGET_1,-0.597991,-0.498414,-0.580466,-0.498396,True,-0.580466,-0.498396
0.128,TARGET_1,-0.595981,-0.496827,-0.608131,-0.504857,True,-0.5957978100117379,-0.5019766551413641
0.192,TARGET_1,-0.593972,-0.495241,-0.595384,-0.500039,True,-0.5961573126899846,-0.5011829578316029
0.256,TARGET_1,-0.591963,-0.493655,-0.573057,-0.485567,True,-0.5859024491553645,-0.493960145559687
0.32,TARGET_1,-0.589954,-0.492069,-0.593465,-0.488317,True,-0.5890236760620178,-0.49078067291283767
0.384,TARGET_1,-0.587944,-0.490482,-0.602479,-0.479157,True,-0.5951900439618409,-0.48465209629945594
0.448,TARGET_1,-0.585935,-0.488896,,,False,-0.5959652281052839,-0.48258789787058776
0.512,TARGET_1,-0.583926,-0.48731,-0.601491,-0.507058,True,-0.5994515032519491,-0.49566643699057783
0.576,TARGET_1,-0.581916,-0.485723,-0.577481,-0.501569,True,-0.5893231467958107,-0.49844060772660165
0.64,TARGET_1,-0.579907,-0.484137,-0.599562,-0.492584,True,-0.5938750656041765,-0.4958625906722658
0.704,TARGET_1,-0.577898,-0.482551,,,False,-0.5942058006229043,-0.4957181402524931
0.768,TARGET_1,-0.575888,-0.480965,-0.578494,-0.497037,True,-0.5859164846911467,-0.4963599625566893
0.832,TARGET_1,-0.573879,-0.479378,-0.582158,-0.482975,True,-0.583930632248633,-0.4901280378427499
0.896,TARGET_1,-0.57187,-0.477792,-0.575404,-0.490797,True,-0.5798975375048816,-0.4900752901985821
0.96,TARGET_1,-0.569861,-0.476206,-0.568996,-0.473903,True,-0.5748018397081905,-0.48294360966222044
1.024,TARGET_1,-0.567851,-0.474619,-0.580683,-0.45941,True,-0.5765320445428421,-0.4725563611989828
1.088,TARGET_1,-0.565842,-0.473033,-0.56831,-0.483843,True,-0.5725737232388476,-0.47614029588718126
1.152,TARGET_1,-0.563833,-0.471447,-0.550962,-0.484694,True,-0.563036607684202,-0.47880926772360155
1.216,TARGET_1,-0.561823,-0.469861,-0.561908,-0.456588,True,-0.5615111369924678,-0.4691219558527063
1.28,TARGET_1,-0.559814,-0.468274,-0.577093,-0.480818,True,-0.5667635156667296,-0.4728485361672821
1.344,TARGET_1,-0.557805,-0.466688,-0.542923,-0.456964,True,-0.5563608406037582,-0.46564139578716024
1.408,TARGET_1,-0.555795,-0.465102,,,False,-0.5544558579519446,-0.4639215835056125
1.472,TARGET_1,-0.553786,-0.463515,-0.556277,-0.469418,True,-0.5543946497489034,-0.4657725315461853
1.536,TARGET_1,-0.551777,-0.461929,-0.564184,-0.445632,True,-0.5576565364700055,-0.456143461936952
1.6,TARGET_1,-0.549768,-0.460343,-0.534155,-0.451615,True,-0.5470615714172969,-0.4530975919122247
1.664,TARGET_1,-0.547758,-0.458756,-0.53963,-0.439301,True,-0.5428408631215115,-0.44628257104936975
1.728,TARGET_1,-0.545749,-0.45717,-0.52647,-0.443033,True,-0.5349746431950397,-0.443570864358563
1.792,TARGET_1,-0.54374,-0.455584,-0.540836,-0.470961,True,-0.5358080093962335,-0.45308792115847735
1.856,TARGET_1,-0.54173,-0.453998,-0.526336,-0.448556,True,-0.5306423416421129,-0.45028255500696546
1.92,TARGET_1,-0.539721,-0.452411,,,False,-0.5281613234531035,-0.4485535537920536
1.984,TARGET_1,-0.537712,-0.450825,-0.530531,-0.457064,True,-0.5280509681864568,-0.4518288415857178
2.048,TARGET_1,-0.535702,-0.449239,-0.523352,-0.461648,True,-0.5246895766414221,-0.45525392936970244
2.112,TARGET_1,-0.533693,-0.447652,,,False,-0.5222872473298387,-0.45409437394922897
2.176,TARGET_1,-0.531684,-0.446066,-0.521608,-0.438274,True,-0.5207434747298844,-0.4456298009618641
2.24,TARGET_1,-0.529675,-0.44448,-0.525169,-0.45512,True,-0.5213384029689834,-0.44886944436552073
2.304,TARGET_1,-0.527665,-0.442894,-0.520456,-0.42527,True,-0.5196877807542117,-0.43839443077894114
2.368,TARGET_1,-0.525656,-0.441307,-0.521725,-0.439771,True,-0.5192176698352536,-0.43786038221498724
2.432,TARGET_1,-0.523647,-0.439721,,,False,-0.5171561664751467,-0.43611367217399905
2.496,TARGET_1,-0.521637,-0.438135,-0.540771,-0.439799,True,-0.5276293320039173,-0.4370187732678942
2.56,TARGET_1,-0.519628,-0.436548,-0.508295,-0.427138,True,-0.5185200771828978,-0.43184967073938796
2.624,TARGET_1,-0.517619,-0.434962,,,False,-0.5167268390573635,-0.4300517566309209
2.688,TARGET_1,-0.515609,-0.433376,-0.531694,-0.447226,True,-0.5232619820807797,-0.4376812647483949
2.752,TARGET_1,-0.5136,-0.43179,,,False,-0.5219291537723071,-0.4364045176788494
2.816,TARGET_1,-0.511591,-0.430203,-0.525437,-0.425299,True,-0.5230957178577026,-0.43005286744892174
2.88,TARGET_1,-0.509582,-0.428617,-0.497164,-0.436381,True,-0.511000691243826,-0.43197199244748646
2.944,TARGET_1,-0.507572,-0.427031,-0.495307,-0.425723,True,-0.5034660817506097,-0.42859072959852756
3.008,TARGET_1,-0.505563,-0.425444,-0.494759,-0.444335,True,-0.49870086885483234,-0.43404485713872937
3.072,TARGET_1,-0.503554,-0.423858,-0.487869,-0.42553,True,-0.4930275889210947,-0.42999833734578313
3.136,TARGET_1,-0.501544,-0.422272,-0.495053,-0.408131,True,-0.4923529710650672,-0.4205665295752072
3.2,TARGET_1,-0.499535,-0.420686,-0.483429,-0.435521,True,-0.48739871890155767,-0.4254550831276094
3.264,TARGET_1,-0.497526,-0.419099,-0.517275,-0.399303,True,-0.49771888786471485,-0.4142901251734562
3.328,TARGET_1,-0.495516,-0.417513,-0.484008,-0.436348,True,-0.4912196236688687,-0.42187603158682013
3.392,TARGET_1,-0.493507,-0.415927,-0.479479,-0.427908,True,-0.48533944474480356,-0.4234411582312454
3.456,TARGET_1,-0.491498,-0.41434,-0.476308,-0.409623,True,-0.4804008063406353,-0.41724900485095645
3.52,TARGET_1,-0.489489,-0.412754,-0.47901,-0.401126,True,-0.4783950371168814,-0.4099743827684111
3.584,TARGET_1,-0.487479,-0.411168,-0.469683,-0.424001,True,-0.4735052668938481,-0.4144354730438095
3.648,TARGET_1,-0.48547,-0.409582,,,False,-0.470978163314221,-0.41298380209827673
3.712,TARGET_1,-0.483461,-0.407995,-0.489111,-0.416275,True,-0.4784852758310451,-0.4138356698038301
3.776,TARGET_1,-0.481451,-0.406409,,,False,-0.4765145093813588,-0.4125117162673639
3.84,TARGET_1,-0.479442,-0.404823,-0.483154,-0.38747,True,-0.47896117295179474,-0.39901953636248855
3.904,TARGET_1,-0.477433,-0.403236,-0.474247,-0.387622,True,-0.4759198934976162,-0.3928973496571263
3.968,TARGET_1,-0.475423,-0.40165,-0.466931,-0.413948,True,-0.471153580497337,-0.4002802777433948
4.032,TARGET_1,-0.473414,-0.400064,-0.478788,-0.384385,True,-0.47304857419971513,-0.3928815321065364
4.096,TARGET_1,-0.471405,-0.398477,-0.460094,-0.393478,True,-0.4668379217545933,-0.39191410575081065
4.16,TARGET_1,-0.469396,-0.396891,-0.483171,-0.399317,True,-0.4721077704778584,-0.3936764599511687
4.224,TARGET_1,-0.467386,-0.395305,-0.459783,-0.406353,True,-0.4662656666870882,-0.3976471074462609
4.288,TARGET_1,-0.465377,-0.393719,,,False,-0.4644346365150089,-0.39623108651692035
4.352,TARGET_1,-0.463368,-0.392132,-0.448606,-0.411472,True,-0.45580620655035475,-0.40290386589714905
4.416,TARGET_1,-0.461358,-0.390546,,,False,-0.45359912572599526,-0.4019353394105954
4.48,TARGET_1,-0.459349,-0.38896,-0.477602,-0.397436,True,-0.4648365607034028,-0.39915566635884503
4.544,TARGET_1,-0.45734,-0.387373,-0.458107,-0.372071,True,-0.46105284249884676,-0.3866575290186068
4.608,TARGET_1,-0.45533,-0.385787,-0.464209,-0.388639,True,-0.4614138291763234,-0.38648109448806783
4.672,TARGET_1,-0.453321,-0.384201,,,False,-0.45992064733344384,-0.3848732195474343
4.736,TARGET_1,-0.451312,-0.382615,-0.465242,-0.386371,True,-0.4617696030919954,-0.3847884901206032
4.8,TARGET_1,-0.449303,-0.381028,-0.450539,-0.370617,True,-0.4561788750305746,-0.3778069444852689
4.864,TARGET_1,-0.447293,-0.379442,-0.464848,-0.364901,True,-0.4588166457994122,-0.37144457256775054
4.928,TARGET_1,-0.445284,-0.377856,-0.457198,-0.383452,True,-0.4573805399425132,-0.37501638057540193
4.992,TARGET_1,-0.443275,-0.376269,,,False,-0.45605982940484197,-0.3732554872411833
5.056,TARGET_1,-0.441265,-0.374683,-0.43973,-0.365891,True,-0.44742931020493054,-0.3687655063673623
5.12,TARGET_1,-0.439256,-0.373097,,,False,-0.4457058427655223,-0.3668542453706223
5.184,TARGET_1,-0.437247,-0.371511,-0.433933,-0.384759,True,-0.4388244445681495,-0.3751137296372878
5.248,TARGET_1,-0.435237,-0.369924,-0.454031,-0.380695,True,-0.44438346069190676,-0.3768047613449124
5.312,TARGET_1,-0.433228,-0.368338,-0.416458,-0.359317,True,-0.4319302417155581,-0.3688911874777822
5.376,TARGET_1,-0.431219,-0.366752,,,False,-0.4297413225933976,-0.3673291386797925
5.44,TARGET_1,-0.42921,-0.365165,-0.430282,-0.364861,True,-0.4288911036510743,-0.3653227082030688
5.504,TARGET_1,-0.4272,-0.363579,-0.434502,-0.355611,True,-0.4301094265776656,-0.36023031104227526
5.568,TARGET_1,-0.425191,-0.361993,-0.425171,-0.351305,True,-0.4269459427040023,-0.3555247573844438
5.632,TARGET_1,-0.423182,-0.360407,-0.407731,-0.373478,True,-0.41804256807398715,-0.3615612909853602
5.696,TARGET_1,-0.421172,-0.35882,-0.413151,-0.356785,True,-0.41466096435435323,-0.35876030233915246
5.76,TARGET_1,-0.419163,-0.357234,-0.413444,-0.337439,True,-0.41270551340194356,-0.34936103971812865
5.824,TARGET_1,-0.417154,-0.355648,,,False,-0.4102922744551002,-0.34735225197706177
5.888,TARGET_1,-0.415144,-0.354061,-0.421378,-0.345011,True,-0.4144358718677939,-0.345181976768408
5.952,TARGET_1,-0.413135,-0.352475,-0.425624,-0.365043,True,-0.41807745423265386,-0.3525713705034871
6.016,TARGET_1,-0.411126,-0.350889,-0.395324,-0.34653,True,-0.40774453364235047,-0.34921509954391183
6.08,TARGET_1,-0.409117,-0.349303,-0.394692,-0.337522,True,-0.4011862826157916,-0.3435686410255497
6.144,TARGET_1,-0.407107,-0.347716,-0.391103,-0.331258,True,-0.39569760144586963,-0.33757313830565333
6.208,TARGET_1,-0.405098,-0.34613,-0.401948,-0.360628,True,-0.396590681568454,-0.3454688726280372
6.272,TARGET_1,-0.403089,-0.344544,-0.40953,-0.328468,True,-0.40024725167320413,-0.33783063238506783
6.336,TARGET_1,-0.401079,-0.342957,,,False,-0.3981611437186663,-0.33598448966344396
6.4,TARGET_1,-0.39907,-0.341371,,,False,-0.39607503576412845,-0.3341383469418201
6.464,TARGET_1,-0.397061,-0.339785,,,False,-0.3939889278095906,-0.33229220422019623
