time,target,true_x,true_z,meas_x,meas_z
0.064,TARGET_1,-0.597991,-0.498414,-0.580466,-0.498396
0.064,TARGET_2,0.598190,0.498190,0.601182,0.489618
0.128,TARGET_1,-0.595981,-0.496827,-0.608131,-0.504857
0.128,TARGET_2,0.596380,0.496380,0.580103,0.479673
0.192,TARGET_1,-0.593972,-0.495241,-0.595384,-0.500039
0.192,TARGET_2,0.594569,0.494569,0.598905,0.475187
0.256,TARGET_1,-0.591963,-0.493655,-0.573057,-0.485567
0.256,TARGET_2,0.592759,0.492759,0.604826,0.507355
0.320,TARGET_1,-0.589954,-0.492069,-0.593465,-0.488317
0.320,TARGET_2,0.590949,0.490949,0.609916,0.485741
0.384,TARGET_1,-0.587944,-0.490482,-0.602479,-0.479157
0.384,TARGET_2,0.589139,0.489139,0.572275,0.499588
0.448,TARGET_1,-0.585935,-0.488896,-0.578422,-0.491310
0.448,TARGET_2,0.587329,0.487329,0.596115,0.482611
0.512,TARGET_1,-0.583926,-0.487310,-0.601491,-0.507058
0.512,TARGET_2,0.585518,0.485518,0.596895,0.482583
0.576,TARGET_1,-0.581916,-0.485723,-0.577481,-0.501569
0.576,TARGET_2,0.583708,0.483708,0.597804,0.476922
0.640,TARGET_1,-0.579907,-0.484137,-0.599562,-0.492584
0.640,TARGET_2,0.581898,0.481898,0.563793,0.495547
0.704,TARGET_1,-0.577898,-0.482551,-0.591843,-0.464702
0.704,TARGET_2,0.580088,0.480088,0.579468,0.472245
0.768,TARGET_1,-0.575888,-0.480965,-0.578494,-0.497037
0.768,TARGET_2,0.578278,0.478278,0.597030,0.465826
0.832,TARGET_1,-0.573879,-0.479378,-0.582158,-0.482975
0.832,TARGET_2,0.576467,0.476467,0.560562,0.472254
0.896,TARGET_1,-0.571870,-0.477792,-0.575404,-0.490797
0.896,TARGET_2,0.574657,0.474657,0.572895,0.469083
0.960,TARGET_1,-0.569861,-0.476206,-0.568996,-0.473903
0.960,TARGET_2,0.572847,0.472847,0.591287,0.473381
1.024,TARGET_1,-0.567851,-0.474619,-0.580683,-0.459410
1.024,TARGET_2,0.571037,0.471037,0.558193,0.454437
1.088,TARGET_1,-0.565842,-0.473033,-0.568310,-0.483843
1.088,TARGET_2,0.569227,0.469227,0.573368,0.482472
1.152,TARGET_1,-0.563833,-0.471447,-0.550962,-0.484694
1.152,TARGET_2,0.567417,0.467417,0.573523,0.474626
1.216,TARGET_1,-0.561823,-0.469861,-0.561908,-0.456588
1.216,TARGET_2,0.565606,0.465606,0.565844,0.479446
1.280,TARGET_1,-0.559814,-0.468274,-0.577093,-0.480818
1.280,TARGET_2,0.563796,0.463796,0.561555,0.461160
1.344,TARGET_1,-0.557805,-0.466688,-0.542923,-0.456964
1.344,TARGET_2,0.561986,0.461986,0.575843,0.444947
1.408,TARGET_1,-0.555795,-0.465102,-0.567106,-0.465406
1.408,TARGET_2,0.560176,0.460176,0.560322,0.464487
1.472,TARGET_1,-0.553786,-0.463515,-0.556277,-0.469418
1.472,TARGET_2,0.558366,0.458366,0.554365,0.453010
1.536,TARGET_1,-0.551777,-0.461929,-0.564184,-0.445632
1.536,TARGET_2,0.556555,0.456555,0.561488,0.439134
1.600,TARGET_1,-0.549768,-0.460343,-0.534155,-0.451615
1.600,TARGET_2,0.554745,0.454745,0.557065,0.468699
1.664,TARGET_1,-0.547758,-0.458756,-0.539630,-0.439301
1.664,TARGET_2,0.552935,0.452935,0.533638,0.453874
1.728,TARGET_1,-0.545749,-0.457170,-0.526470,-0.443033
1.728,TARGET_2,0.551125,0.451125,0.550032,0.450782
1.792,TARGET_1,-0.543740,-0.455584,-0.540836,-0.470961
1.792,TARGET_2,0.549315,0.449315,0.530561,0.446882
1.856,TARGET_1,-0.541730,-0.453998,-0.526336,-0.448556
1.856,TARGET_2,0.547504,0.447504,0.540569,0.439379
1.920,TARGET_1,-0.539721,-0.452411,-0.554252,-0.462980
1.920,TARGET_2,0.545694,0.445694,0.564526,0.445886
1.984,TARGET_1,-0.537712,-0.450825,-0.530531,-0.457064
1.984,TARGET_2,0.543884,0.443884,0.552978,0.428616
2.048,TARGET_1,-0.535702,-0.449239,-0.523352,-0.461648
2.048,TARGET_2,0.542074,0.442074,0.524558,0.453326
2.112,TARGET_1,-0.533693,-0.447652,-0.514969,-0.435031
2.112,TARGET_2,0.540264,0.440264,0.529336,0.424285
2.176,TARGET_1,-0.531684,-0.446066,-0.521608,-0.438274
2.176,TARGET_2,0.538453,0.438453,0.539736,0.436508
2.240,TARGET_1,-0.529675,-0.444480,-0.525169,-0.455120
2.240,TARGET_2,0.536643,0.436643,0.555287,0.446500
2.304,TARGET_1,-0.527665,-0.442894,-0.520456,-0.425270
2.304,TARGET_2,0.534833,0.434833,0.547457,0.422768
2.368,TARGET_1,-0.525656,-0.441307,-0.521725,-0.439771
2.368,TARGET_2,0.533023,0.433023,0.530807,0.437353
2.432,TARGET_1,-0.523647,-0.439721,-0.512261,-0.427254
2.432,TARGET_2,0.531213,0.431213,0.546728,0.419619
2.496,TARGET_1,-0.521637,-0.438135,-0.540771,-0.439799
2.496,TARGET_2,0.529402,0.429402,0.526000,0.433568
2.560,TARGET_1,-0.519628,-0.436548,-0.508295,-0.427138
2.560,TARGET_2,0.527592,0.427592,0.536441,0.439911
2.624,TARGET_1,-0.517619,-0.434962,-0.529451,-0.447988
2.624,TARGET_2,0.525782,0.425782,0.541871,0.444162
2.688,TARGET_1,-0.515609,-0.433376,-0.531694,-0.447226
2.688,TARGET_2,0.523972,0.423972,0.538660,0.431989
2.752,TARGET_1,-0.513600,-0.431790,-0.496391,-0.427682
2.752,TARGET_2,0.522162,0.422162,0.516109,0.433093
2.816,TARGET_1,-0.511591,-0.430203,-0.525437,-0.425299
2.816,TARGET_2,0.520351,0.420351,0.506897,0.434844
2.880,TARGET_1,-0.509582,-0.428617,-0.497164,-0.436381
2.880,TARGET_2,0.518541,0.418541,0.533871,0.406927
2.944,TARGET_1,-0.507572,-0.427031,-0.495307,-0.425723
2.944,TARGET_2,0.516731,0.416731,0.519398,0.398274
3.008,TARGET_1,-0.505563,-0.425444,-0.494759,-0.444335
3.008,TARGET_2,0.514921,0.414921,0.523559,0.407487
3.072,TARGET_1,-0.503554,-0.423858,-0.487869,-0.425530
3.072,TARGET_2,0.513111,0.413111,0.497416,0.428043
3.136,TARGET_1,-0.501544,-0.422272,-0.495053,-0.408131
3.136,TARGET_2,0.511301,0.411301,0.517606,0.409510
3.200,TARGET_1,-0.499535,-0.420686,-0.483429,-0.435521
3.200,TARGET_2,0.509490,0.409490,0.528508,0.416028
3.264,TARGET_1,-0.497526,-0.419099,-0.517275,-0.399303
3.264,TARGET_2,0.507680,0.407680,0.518251,0.403304
3.328,TARGET_1,-0.495516,-0.417513,-0.484008,-0.436348
3.328,TARGET_2,0.505870,0.405870,0.514793,0.415381
3.392,TARGET_1,-0.493507,-0.415927,-0.479479,-0.427908
3.392,TARGET_2,0.504060,0.404060,0.488325,0.422409
3.456,TARGET_1,-0.491498,-0.414340,-0.476308,-0.409623
3.456,TARGET_2,0.502250,0.402250,0.506258,0.400689
3.520,TARGET_1,-0.489489,-0.412754,-0.479010,-0.401126
3.520,TARGET_2,0.500439,0.400439,0.507034,0.396241
3.584,TARGET_1,-0.487479,-0.411168,-0.469683,-0.424001
3.584,TARGET_2,0.498629,0.398629,0.479021,0.413120
3.648,TARGET_1,-0.485470,-0.409582,-0.467975,-0.416860
3.648,TARGET_2,0.496819,0.396819,0.490733,0.387762
3.712,TARGET_1,-0.483461,-0.407995,-0.489111,-0.416275
3.712,TARGET_2,0.495009,0.395009,0.478622,0.410590
3.776,TARGET_1,-0.481451,-0.406409,-0.483710,-0.392319
3.776,TARGET_2,0.493199,0.393199,0.478714,0.376130
3.840,TARGET_1,-0.479442,-0.404823,-0.483154,-0.387470
3.840,TARGET_2,0.491388,0.391388,0.488302,0.382910
3.904,TARGET_1,-0.477433,-0.403236,-0.474247,-0.387622
3.904,TARGET_2,0.489578,0.389578,0.483984,0.384353
3.968,TARGET_1,-0.475423,-0.401650,-0.466931,-0.413948
3.968,TARGET_2,0.487768,0.387768,0.502278,0.371950
4.032,TARGET_1,-0.473414,-0.400064,-0.478788,-0.384385
4.032,TARGET_2,0.485958,0.385958,0.469049,0.391949
4.096,TARGET_1,-0.471405,-0.398477,-0.460094,-0.393478
4.096,TARGET_2,0.484148,0.384148,0.484036,0.396794
4.160,TARGET_1,-0.469396,-0.396891,-0.483171,-0.399317
4.160,TARGET_2,0.482337,0.382337,0.486691,0.392601
4.224,TARGET_1,-0.467386,-0.395305,-0.459783,-0.406353
4.224,TARGET_2,0.480527,0.380527,0.489603,0.363885
4.288,TARGET_1,-0.465377,-0.393719,-0.470335,-0.412813
4.288,TARGET_2,0.478717,0.378717,0.465751,0.396813
4.352,TARGET_1,-0.463368,-0.392132,-0.448606,-0.411472
4.352,TARGET_2,0.476907,0.376907,0.475831,0.362202
4.416,TARGET_1,-0.461358,-0.390546,-0.465795,-0.392547
4.416,TARGET_2,0.475097,0.375097,0.481914,0.379568
4.480,TARGET_1,-0.459349,-0.388960,-0.477602,-0.397436
4.480,TARGET_2,0.473286,0.373286,0.473679,0.383398
4.544,TARGET_1,-0.457340,-0.387373,-0.458107,-0.372071
4.544,TARGET_2,0.471476,0.371476,0.473484,0.372980
4.608,TARGET_1,-0.455330,-0.385787,-0.464209,-0.388639
4.608,TARGET_2,0.469666,0.369666,0.486496,0.386963
4.672,TARGET_1,-0.453321,-0.384201,-0.434339,-0.384402
4.672,TARGET_2,0.467856,0.367856,0.482170,0.383956
4.736,TARGET_1,-0.451312,-0.382615,-0.465242,-0.386371
4.736,TARGET_2,0.466046,0.366046,0.473294,0.350381
4.800,TARGET_1,-0.449303,-0.381028,-0.450539,-0.370617
4.800,TARGET_2,0.464235,0.364235,0.458864,0.376848
4.864,TARGET_1,-0.447293,-0.379442,-0.464848,-0.364901
4.864,TARGET_2,0.462425,0.362425,0.457040,0.344286
4.928,TARGET_1,-0.445284,-0.377856,-0.457198,-0.383452
4.928,TARGET_2,0.460615,0.360615,0.474426,0.361108
4.992,TARGET_1,-0.443275,-0.376269,-0.437484,-0.362576
4.992,TARGET_2,0.458805,0.358805,0.477933,0.352618
5.056,TARGET_1,-0.441265,-0.374683,-0.439730,-0.365891
5.056,TARGET_2,0.456995,0.356995,0.455462,0.343952
5.120,TARGET_1,-0.439256,-0.373097,-0.445886,-0.387914
5.120,TARGET_2,0.455185,0.355185,0.471681,0.357778
5.184,TARGET_1,-0.437247,-0.371511,-0.433933,-0.384759
5.184,TARGET_2,0.453374,0.353374,0.445107,0.348009
5.248,TARGET_1,-0.435237,-0.369924,-0.454031,-0.380695
5.248,TARGET_2,0.451564,0.351564,0.432789,0.370787
5.312,TARGET_1,-0.433228,-0.368338,-0.416458,-0.359317
5.312,TARGET_2,0.449754,0.349754,0.468804,0.333976
5.376,TARGET_1,-0.431219,-0.366752,-0.415111,-0.348064
5.376,TARGET_2,0.447944,0.347944,0.462836,0.366435
5.440,TARGET_1,-0.429210,-0.365165,-0.430282,-0.364861
5.440,TARGET_2,0.446134,0.346134,0.445087,0.348283
5.504,TARGET_1,-0.427200,-0.363579,-0.434502,-0.355611
5.504,TARGET_2,0.444323,0.344323,0.463758,0.363451
5.568,TARGET_1,-0.425191,-0.361993,-0.425171,-0.351305
5.568,TARGET_2,0.442513,0.342513,0.461364,0.335737
5.632,TARGET_1,-0.423182,-0.360407,-0.407731,-0.373478
5.632,TARGET_2,0.440703,0.340703,0.436127,0.329641
5.696,TARGET_1,-0.421172,-0.358820,-0.413151,-0.356785
5.696,TARGET_2,0.438893,0.338893,0.454695,0.337193
5.760,TARGET_1,-0.419163,-0.357234,-0.413444,-0.337439
5.760,TARGET_2,0.437083,0.337083,0.422436,0.352065
5.824,TARGET_1,-0.417154,-0.355648,-0.418984,-0.336247
5.824,TARGET_2,0.435272,0.335272,0.417572,0.352196
5.888,TARGET_1,-0.415144,-0.354061,-0.421378,-0.345011
5.888,TARGET_2,0.433462,0.333462,0.415378,0.352176
5.952,TARGET_1,-0.413135,-0.352475,-0.425624,-0.365043
5.952,TARGET_2,0.431652,0.331652,0.448711,0.346647
6.016,TARGET_1,-0.411126,-0.350889,-0.395324,-0.346530
6.016,TARGET_2,0.429842,0.329842,0.431125,0.345981
6.080,TARGET_1,-0.409117,-0.349303,-0.394692,-0.337522
6.080,TARGET_2,0.428032,0.328032,0.408814,0.325453
6.144,TARGET_1,-0.407107,-0.347716,-0.391103,-0.331258
6.144,TARGET_2,0.426221,0.326221,0.427616,0.329202
6.208,TARGET_1,-0.405098,-0.346130,-0.401948,-0.360628
6.208,TARGET_2,0.424411,0.324411,0.421370,0.310189
6.272,TARGET_1,-0.403089,-0.344544,-0.409530,-0.328468
6.272,TARGET_2,0.422601,0.322601,0.427831,0.307432
6.336,TARGET_1,-0.401079,-0.342957,-0.407755,-0.362491
6.336,TARGET_2,0.420791,0.320791,0.418423,0.301749
6.400,TARGET_1,-0.399070,-0.341371,-0.404381,-0.343546
6.400,TARGET_2,0.418981,0.318981,0.408074,0.311281
6.464,TARGET_1,-0.397061,-0.339785,-0.382549,-0.356021
6.464,TARGET_2,0.417170,0.317170,0.411362,0.308007
6.528,TARGET_1,-0.395051,-0.338198,-0.405371,-0.349075
6.528,TARGET_2,0.415360,0.315360,0.431259,0.316547
6.592,TARGET_1,-0.393042,-0.336612,-0.387309,-0.317500
6.592,TARGET_2,0.413550,0.313550,0.406690,0.316468
6.656,TARGET_1,-0.391033,-0.335026,-0.396109,-0.330935
6.656,TARGET_2,0.411740,0.311740,0.425183,0.309361
6.720,TARGET_1,-0.389024,-0.333440,-0.409022,-0.320183
6.720,TARGET_2,0.409930,0.309930,0.406825,0.291928
6.784,TARGET_1,-0.387014,-0.331853,-0.387080,-0.349400
6.784,TARGET_2,0.408120,0.308120,0.405818,0.296347
6.848,TARGET_1,-0.385005,-0.330267,-0.391159,-0.322882
6.848,TARGET_2,0.406309,0.306309,0.415859,0.319133
6.912,TARGET_1,-0.382996,-0.328681,-0.363604,-0.335222
6.912,TARGET_2,0.406907,0.303820,0.387989,0.299101
6.976,TARGET_1,-0.380986,-0.327094,-0.379135,-0.333565
6.976,TARGET_2,0.407505,0.301331,0.415170,0.289063
7.040,TARGET_1,-0.378977,-0.325508,-0.388811,-0.340733
7.040,TARGET_2,0.408103,0.298842,0.413849,0.295703
7.104,TARGET_1,-0.376968,-0.323922,-0.380784,-0.307949
7.104,TARGET_2,0.408701,0.296353,0.404753,0.295687
7.168,TARGET_1,-0.374958,-0.322336,-0.381606,-0.325935
7.168,TARGET_2,0.409299,0.293863,0.391150,0.305874
7.232,TARGET_1,-0.372949,-0.320749,-0.381826,-0.303097
7.232,TARGET_2,0.409897,0.291374,0.398445,0.289520
7.296,TARGET_1,-0.370940,-0.319163,-0.369639,-0.319596
7.296,TARGET_2,0.410495,0.288885,0.421352,0.299772
7.360,TARGET_1,-0.368931,-0.317577,-0.356334,-0.326005
7.360,TARGET_2,0.411093,0.286396,0.404892,0.281654
7.424,TARGET_1,-0.366921,-0.315990,-0.377277,-0.315340
7.424,TARGET_2,0.411691,0.283907,0.405483,0.293836
7.488,TARGET_1,-0.364912,-0.314404,-0.352206,-0.317198
7.488,TARGET_2,0.412289,0.281417,0.418333,0.291406
7.552,TARGET_1,-0.362903,-0.312818,-0.348564,-0.302745
7.552,TARGET_2,0.412887,0.278928,0.417436,0.270926
7.616,TARGET_1,-0.360893,-0.311232,-0.371632,-0.309329
7.616,TARGET_2,0.413485,0.276439,0.414378,0.278978
7.680,TARGET_1,-0.358884,-0.309645,-0.345201,-0.313436
7.680,TARGET_2,0.414083,0.273950,0.402235,0.285497
7.744,TARGET_1,-0.356875,-0.308059,-0.366559,-0.320768
7.744,TARGET_2,0.414681,0.271461,0.430789,0.263110
7.808,TARGET_1,-0.354865,-0.306473,-0.339504,-0.322173
7.808,TARGET_2,0.415279,0.268971,0.399325,0.273744
7.872,TARGET_1,-0.352856,-0.304886,-0.349170,-0.304192
7.872,TARGET_2,0.415877,0.266482,0.413265,0.263742
7.936,TARGET_1,-0.350847,-0.303300,-0.362385,-0.322956
7.936,TARGET_2,0.416474,0.263993,0.410855,0.248760
8.000,TARGET_1,-0.348838,-0.301714,-0.337340,-0.310191
8.000,TARGET_2,0.417072,0.261504,0.426218,0.269665
8.064,TARGET_1,-0.346828,-0.300128,-0.366303,-0.300104
8.064,TARGET_2,0.417670,0.259015,0.434949,0.240698
8.128,TARGET_1,-0.344819,-0.298541,-0.335115,-0.305848
8.128,TARGET_2,0.418268,0.256526,0.428560,0.271176
8.192,TARGET_1,-0.342810,-0.296955,-0.323253,-0.294365
8.192,TARGET_2,0.418866,0.254036,0.423996,0.261919
8.256,TARGET_1,-0.340800,-0.295369,-0.348175,-0.288339
8.256,TARGET_2,0.419464,0.251547,0.414479,0.237739
8.320,TARGET_1,-0.338791,-0.293782,-0.357722,-0.283998
8.320,TARGET_2,0.420062,0.249058,0.407931,0.257153
8.384,TARGET_1,-0.336782,-0.292196,-0.354306,-0.293530
8.384,TARGET_2,0.420660,0.246569,0.439226,0.240641
8.448,TARGET_1,-0.334772,-0.290610,-0.354658,-0.280868
8.448,TARGET_2,0.421258,0.244080,0.422514,0.238655
8.512,TARGET_1,-0.332763,-0.289024,-0.348863,-0.299566
8.512,TARGET_2,0.421856,0.241590,0.409886,0.240646
8.576,TARGET_1,-0.330754,-0.287437,-0.322445,-0.281548
8.576,TARGET_2,0.422454,0.239101,0.402607,0.246360
8.640,TARGET_1,-0.328745,-0.285851,-0.345250,-0.305464
8.640,TARGET_2,0.423052,0.236612,0.441176,0.220649
8.704,TARGET_1,-0.326735,-0.284265,-0.310867,-0.273401
8.704,TARGET_2,0.423650,0.234123,0.440467,0.253043
8.768,TARGET_1,-0.324726,-0.282678,-0.330374,-0.264708
8.768,TARGET_2,0.424248,0.231634,0.416206,0.223338
8.832,TARGET_1,-0.322717,-0.281092,-0.324082,-0.295683
8.832,TARGET_2,0.424846,0.229144,0.409012,0.214464
8.896,TARGET_1,-0.320707,-0.279506,-0.335129,-0.273852
8.896,TARGET_2,0.425444,0.226655,0.432278,0.213845
8.960,TARGET_1,-0.318698,-0.277919,-0.308579,-0.275632
8.960,TARGET_2,0.426042,0.224166,0.430117,0.224543
9.024,TARGET_1,-0.316689,-0.276333,-0.299849,-0.296094
9.024,TARGET_2,0.426640,0.221677,0.411654,0.207407
9.088,TARGET_1,-0.314679,-0.274747,-0.296160,-0.279567
9.088,TARGET_2,0.427238,0.219188,0.427884,0.215499
9.152,TARGET_1,-0.312670,-0.273161,-0.294795,-0.259886
9.152,TARGET_2,0.427836,0.216699,0.437352,0.222019
9.216,TARGET_1,-0.310661,-0.271574,-0.301904,-0.258970
9.216,TARGET_2,0.428433,0.214209,0.446931,0.203013
9.280,TARGET_1,-0.308652,-0.269988,-0.295606,-0.252524
9.280,TARGET_2,0.429031,0.211720,0.413907,0.216089
9.344,TARGET_1,-0.306642,-0.268402,-0.297132,-0.251595
9.344,TARGET_2,0.429629,0.209231,0.415665,0.196389
9.408,TARGET_1,-0.304633,-0.266815,-0.313777,-0.248739
9.408,TARGET_2,0.430227,0.206742,0.413172,0.211098
9.472,TARGET_1,-0.302624,-0.265229,-0.297381,-0.277552
9.472,TARGET_2,0.430825,0.204253,0.434574,0.213701
9.536,TARGET_1,-0.300614,-0.263643,-0.282127,-0.254295
9.536,TARGET_2,0.431423,0.201763,0.425088,0.199255
9.600,TARGET_1,-0.298605,-0.262057,-0.285370,-0.250400
9.600,TARGET_2,0.432021,0.199274,0.429498,0.201952
9.664,TARGET_1,-0.296596,-0.260470,-0.295269,-0.264574
9.664,TARGET_2,0.432619,0.196785,0.433467,0.196153
9.728,TARGET_1,-0.294586,-0.258884,-0.288969,-0.263251
9.728,TARGET_2,0.433217,0.194296,0.449920,0.182236
9.792,TARGET_1,-0.292577,-0.257298,-0.285073,-0.238180
9.792,TARGET_2,0.433815,0.191807,0.416774,0.198424
9.856,TARGET_1,-0.290568,-0.255711,-0.294168,-0.249850
9.856,TARGET_2,0.434413,0.189317,0.452235,0.179890
9.920,TARGET_1,-0.288559,-0.254125,-0.291141,-0.245531
9.920,TARGET_2,0.435011,0.186828,0.433913,0.206395
9.984,TARGET_1,-0.286549,-0.252539,-0.273047,-0.260678
9.984,TARGET_2,0.435609,0.184339,0.448041,0.179651
10.048,TARGET_1,-0.284540,-0.250953,-0.286273,-0.232442
10.048,TARGET_2,0.436207,0.181850,0.434999,0.191747
10.112,TARGET_1,-0.282531,-0.249366,-0.286744,-0.234042
10.112,TARGET_2,0.436805,0.179361,0.417421,0.185806
10.176,TARGET_1,-0.280521,-0.247780,-0.276934,-0.238736
10.176,TARGET_2,0.437403,0.176872,0.437146,0.170172
10.240,TARGET_1,-0.278512,-0.246194,-0.263419,-0.262173
10.240,TARGET_2,0.438001,0.174382,0.427217,0.187359
10.304,TARGET_1,-0.276503,-0.244607,-0.278728,-0.231824
10.304,TARGET_2,0.438599,0.171893,0.425246,0.179023
10.368,TARGET_1,-0.274493,-0.243021,-0.291234,-0.232312
10.368,TARGET_2,0.439197,0.169404,0.434317,0.188183
10.432,TARGET_1,-0.272484,-0.241435,-0.286860,-0.235306
10.432,TARGET_2,0.439795,0.166915,0.457751,0.159977
10.496,TARGET_1,-0.270475,-0.239849,-0.266309,-0.242813
10.496,TARGET_2,0.440392,0.164426,0.453930,0.182172
10.560,TARGET_1,-0.268466,-0.238262,-0.281611,-0.232557
10.560,TARGET_2,0.440990,0.161936,0.457453,0.146688
10.624,TARGET_1,-0.266456,-0.236676,-0.255700,-0.234229
10.624,TARGET_2,0.441588,0.159447,0.452875,0.153400
10.688,TARGET_1,-0.264447,-0.235090,-0.268803,-0.245334
10.688,TARGET_2,0.442186,0.156958,0.447266,0.157442
10.752,TARGET_1,-0.262438,-0.233503,-0.255363,-0.235411
10.752,TARGET_2,0.442784,0.154469,0.447858,0.141283
10.816,TARGET_1,-0.260428,-0.231917,-0.275269,-0.227353
10.816,TARGET_2,0.443382,0.151980,0.431009,0.152819
10.880,TARGET_1,-0.258419,-0.230331,-0.263124,-0.224596
10.880,TARGET_2,0.443980,0.149490,0.448758,0.130727
10.944,TARGET_1,-0.256410,-0.228745,-0.259321,-0.212901
10.944,TARGET_2,0.444578,0.147001,0.439187,0.138341
11.008,TARGET_1,-0.254400,-0.227158,-0.266649,-0.245511
11.008,TARGET_2,0.445176,0.144512,0.446894,0.127286
11.072,TARGET_1,-0.252391,-0.225572,-0.256219,-0.240412
11.072,TARGET_2,0.445774,0.142023,0.459763,0.132134
11.136,TARGET_1,-0.250382,-0.223986,-0.266411,-0.218453
11.136,TARGET_2,0.446372,0.139534,0.448327,0.137322
11.200,TARGET_1,-0.248373,-0.222399,-0.238639,-0.211073
11.200,TARGET_2,0.446970,0.137045,0.453956,0.117585
11.264,TARGET_1,-0.246363,-0.220813,-0.253658,-0.206393
11.264,TARGET_2,0.447568,0.134555,0.432125,0.133159
11.328,TARGET_1,-0.244354,-0.219227,-0.252149,-0.202413
11.328,TARGET_2,0.448166,0.132066,0.457008,0.140994
11.392,TARGET_1,-0.242345,-0.217640,-0.223383,-0.216069
11.392,TARGET_2,0.448764,0.129577,0.433652,0.123237
11.456,TARGET_1,-0.240335,-0.216054,-0.225661,-0.196899
11.456,TARGET_2,0.449362,0.127088,0.443974,0.114230
11.520,TARGET_1,-0.238326,-0.214468,-0.222298,-0.214073
11.520,TARGET_2,0.449960,0.124599,0.432844,0.127273
11.584,TARGET_1,-0.236317,-0.212882,-0.216920,-0.225527
11.584,TARGET_2,0.450558,0.122109,0.440496,0.122394
11.648,TARGET_1,-0.234307,-0.211295,-0.231793,-0.197952
11.648,TARGET_2,0.451156,0.119620,0.447500,0.136411
11.712,TARGET_1,-0.232298,-0.209709,-0.212959,-0.206414
11.712,TARGET_2,0.451753,0.117131,0.438591,0.116470
11.776,TARGET_1,-0.230289,-0.208123,-0.245910,-0.202299
11.776,TARGET_2,0.452351,0.114642,0.471551,0.098386
11.840,TARGET_1,-0.228280,-0.206536,-0.245569,-0.198401
11.840,TARGET_2,0.452949,0.112153,0.437428,0.110979
11.904,TARGET_1,-0.226270,-0.204950,-0.224309,-0.199844
11.904,TARGET_2,0.453547,0.109663,0.458347,0.127676
